Suburb,Average of Price,Average of Car,Average of Bedroom2,Average of Bathroom
Abbotsford,1096603.90,1,2,1
Aberfeldie,1354793.10,2,3,2
Airport West,780529.42,2,3,2
Albanvale,536055.56,2,3,1
Albert Park,1983664.71,1,3,2
Albion,623811.32,2,3,1
Alphington,1441155.56,2,3,2
Altona,872917.93,2,3,1
Altona Meadows,668604.17,3,3,2
Altona North,828170.89,2,3,1
Ardeer,632071.43,2,3,1
Armadale,1590300.88,1,3,2
Ascot Vale,1100420.45,1,3,2
Ashburton,1743860.00,2,3,2
Ashwood,1220920.45,2,3,2
Aspendale,1154352.94,2,3,2
Aspendale Gardens,924483.33,2,4,2
Attwood,754363.64,2,4,2
Avondale Heights,828106.19,2,3,2
Bacchus Marsh,423000.00,2,3,2
Balaclava,896184.21,1,2,1
Balwyn,1990670.89,2,3,2
Balwyn North,1856250.22,2,4,2
Bayswater,769555.56,2,3,2
Bayswater North,752657.14,2,3,2
Beaconsfield,603500.00,2,4,2
Beaconsfield Upper,719500.00,2,4,2
Beaumaris,1750591.67,2,4,2
Bellfield,826977.27,2,3,1
Bentleigh,1349965.74,2,3,2
Bentleigh East,1140139.91,2,3,2
Berwick,807722.22,2,4,2
Black Rock,1509613.64,2,3,2
Blackburn,1405459.57,2,3,2
Blackburn North,1153300.00,2,4,2
Blackburn South,1133078.13,2,3,2
Bonbeach,1101050.00,2,4,2
Boronia,843487.50,2,4,2
Botanic Ridge,750000.00,2,4,2
Box Hill,1382781.78,2,3,2
Braybrook,721896.72,2,3,1
Briar Hill,768970.59,1,3,1
Brighton,2086619.99,2,3,2
Brighton East,1666556.22,2,3,2
Broadmeadows,597691.67,2,3,1
Brookfield,479666.67,3,4,2
Brooklyn,652150.00,2,3,1
Brunswick,1026900.48,1,3,1
Brunswick East,963230.77,1,2,1
Brunswick West,885080.27,1,3,1
Bulla,665000.00,5,3,1
Bulleen,1176425.26,2,4,2
Bullengarook,916000.00,2,4,2
Bundoora,835152.50,2,4,2
Burnley,1222445.56,1,2,1
Burnside,659520.00,2,3,2
Burnside Heights,632625.00,2,4,2
Burwood,1308933.03,2,3,2
Burwood East,1115552.94,2,3,2
Cairnlea,727437.50,2,4,2
Camberwell,1861382.32,2,3,2
Campbellfield,555900.00,2,3,1
Canterbury,2279562.50,2,3,2
Carlton,1154966.41,1,2,1
Carlton North,1461892.31,1,3,1
Carnegie,954113.22,1,2,1
Caroline Springs,627294.12,2,3,2
Carrum,740733.33,2,3,1
Carrum Downs,547125.00,2,3,2
Caulfield,760423.08,1,2,1
Caulfield East,1118090.91,1,5,1
Caulfield North,1110892.86,1,3,1
Caulfield South,1262471.43,2,3,2
Chadstone,972235.29,2,3,2
Chelsea,916083.33,2,3,2
Chelsea Heights,764892.86,2,4,2
Cheltenham,1066231.48,2,3,2
Chirnside Park,770330.33,2,3,2
Clarinda,981086.67,2,4,2
Clayton,1226199.45,2,4,1
Clayton South,857730.77,2,3,1
Clifton Hill,1336622.22,1,3,1
Clyde North,575000.00,2,3,2
Coburg,940443.94,1,3,1
Coburg North,835820.22,2,3,1
Coldstream,630000.00,6,3,2
Collingwood,952712.33,1,2,1
Coolaroo,485555.56,1,3,1
Craigieburn,568427.06,2,4,2
Cranbourne,654400.80,2,4,2
Cranbourne North,605000.00,1,4,2
Cranbourne West,624083.33,3,3,2
Cremorne,1023924.24,1,2,1
Croydon,900127.63,2,3,2
Croydon Hills,967275.00,2,4,2
Croydon North,853331.25,2,3,2
Croydon South,843777.78,2,3,1
Dallas,498728.14,2,3,1
Dandenong,658030.30,2,3,1
Dandenong North,650626.32,2,3,2
Deepdene,2280000.00,2,4,2
Deer Park,616725.81,2,3,1
Delahey,575205.88,2,3,2
Derrimut,755461.54,2,4,2
Diamond Creek,798350.00,2,3,2
Diggers Rest,476250.00,2,4,2
Dingley Village,910341.46,2,3,2
Docklands,843333.33,2,2,2
Doncaster,1303871.43,2,4,2
Doncaster East,1307887.91,2,4,2
Donvale,1337450.00,2,4,2
Doreen,582177.42,2,3,2
